answerId,vote,count
1ddjccaleb85e800,-1,1
1ddhd6ji8brf9800,1,5
1ddh7vjaa5nb6800,1,7
1ddh762hgh3v8800,1,6
1ddh2sjvhh3j5800,1,3
1ddgk6614brf9800,-1,1
1ddfj0k3l5nb6800,1,1
1ddf2b69qh3v8800,1,4
1dfh6injl0kbh000,1,1
1ddeujsuf5j6t800,1,1
1ddck69tbh3n6800,1,8
1ddck69tbh3n6800,-1,2
1ddb8teso5nb6800,0,1
1ddb5h1qe5j6t800,1,1
1ddb2ab6rh3j5800,0,5
1dd9bc7h8h438800,1,5
1dd8pkebjh3v8800,0,2
1dd8pkebjh3v8800,1,8
1dd8j70q9h3j5800,1,3
1dd7nb8lah3j5800,1,4
1dd6suav85j6t800,0,2
1dd6l8uufh3v8800,1,1
1dd6j09o1h3j5800,-1,2
1dd6i6ht6h3v8800,-1,8
1dd6i6ht6h3v8800,1,8
1dd66mq0mbrf9800,-1,1
1dd66mq0mbrf9800,1,7
1dd52rphrh3ql800,1,1
1dd517kmuh42k802,1,1
1dd48vk5652v2800,1,4
1dd3ucn0hh3uh800,0,6
1dd3ucn0hh3uh800,1,5
1dd3nof3jh42k800,1,1
1dd3e8i4dh3mg800,0,1
1dd35ogtsh3ql800,-1,1
1dd35ogtsh3ql800,1,3
1dd2b5fkoh3ih800,-1,1
1dd216i4mh42k800,1,5
1dd166qtr5nao800,1,2
1dd0ucsm7h3ih800,-1,7
1dd0ucsm7h3ih800,0,1
1dd02srubb878800,1,3
1dcvefdokh3hu800,1,10
1dcvd643ib833800,-1,1
1dcuhef1u5na4800,1,6
1dctf15arh3ts800,1,4
1dctesmbnh3hu800,1,3
1dcssjiboh45p800,1,7
1dcsn5n6qh3hu800,1,6
1dcsa69psh45p800,-1,4
1dcs9ms4ch3ts800,1,1
1dcs9j1m4h3ts800,-1,1
1dcrot7b1h3hu800,-1,1
1dcr9ma7ch3ts800,1,1
1dcqh3a56h3hu800,0,1
1dcplpctbh45p800,-1,3
1dcp8u2n7h3hu800,1,3
1dcp4n1prh45p800,0,1
1dcp2a0qih3lt800,1,1
1dcomla86h3lt800,1,5
1dcokcjibb833804,1,9
1dcnsnnqjh3ts802,1,5
1dcnd1ukeb833800,1,1
1dcnc3867h3ts800,1,1
1dclvr5i8h3ts805,0,1
1dclidr4ch3lq800,1,8
1dcl91kpjb8ah800,1,2
1dckvq6q95ne6800,1,1
1dckvq6q95ne6800,-1,2
1dckq24n2h3q1804,-1,1
1dcjr02ok5n9v800,-1,3
1dcjr02ok5n9v800,1,1
1dciou3cbh3lq800,1,1
1dci67nnh5j5t802,1,1
1dci0g4o3h45m800,0,1
1dchnc90mb830800,-1,1
1dchguv4ph3tp800,1,5
1dchfna5vbrem800,1,1
1dchb5lbv5n9v802,0,1
1dcge03mth3pr800,1,3
1dcg3qvtvb86k800,-1,1
1dcg3qvtvb86k800,1,11
1dcg1sk1fb8ac801,1,1
1dcg1sk1fb8ac801,-1,1
1dcfqu370h3hm800,1,16
1dcfntcp5b8ac800,1,1
1dcfig6orb86k800,-1,2
1dcf3lmv8h3tj801,1,4
1dcf1kq98h3hm800,-1,1
1dceoa3he5j5k800,1,1
1dceks9015ne1800,1,3
1dcc1m33g5n8h800,-1,1
1dcbgsooeh44m800,0,1
1dcbgsooeh44m800,1,6
1dcak72lfb895800,1,2
1dc9qom6qh3kh800,0,2
1dc84cs90h3gh800,-1,2
1dc6p1treb895800,1,1
1dc66qp8m24fv000,1,1
1dc5iblmah44m801,1,2
1dc5iblmah44m801,-1,1
1dc5f74h324fv000,1,3
1dc5esmuj5nck800,0,1
1dc5859mn5nck800,1,2
1dc4ml6gub895800,-1,2
1dc46g42f52sk800,0,1
1dc2qg5oh0mtc003,1,1
1dc2llq1b24ge000,1,5
1dc2iarr50kbt000,1,4
1dc2ghadv0mtc000,-1,1
1dc2ghadv0mtc000,0,2
1dc2ge749b855800,1,1
1dc2fibtq24ed004,-1,1
1dc17a6oab855800,1,3
1dc17a6oab855800,0,1
1dc0g3orvh44g800,1,2
1dbvtk44vh44g804,1,6
1dbviocdq24ft000,-1,1
1dbv5ud6rh44g800,1,1
1dbv45v7gb855800,0,1
1dbu661lk24eo000,1,1
1dbu5j75kbrcm800,1,1
1dbu5gj7jb84n800,-1,1
1dbu5ef8pbrcm802,1,1
1dbu5d3nrb80n800,-1,1
1dbu45n2rbrcm800,1,2
1dbu3hc4gb84n800,1,1
1dbu2onlebrcm800,1,1
1dbu2d32tb88l800,1,2
1dbu205ebbrcm800,0,2
1dbu205ebbrcm800,1,2
1dbu1bgdqbrcm800,1,1
1dbu15s63b88l800,0,1
1dbtpf0ne0mt7000,1,3
1dbtmg3cr24fp000,-1,1
1dbtcm4m0b88l800,-1,1
1dbtcdiscbrcm800,-1,1
1dbtcdiscbrcm800,1,6
1dbt5a555b80n800,1,1
1dbsrj0sa0kbo000,1,3
1dbrcm7um24fp000,0,2
1dbrcm7um24fp000,-1,1
1dbqid2l30mtp000,-1,1
1dbqe7mp324e9000,1,2
1dbqcvd5r24gs000,-1,15
1dbpuvdnf24e9000,1,3
1dbpdp7bd0mcn000,1,8
1dbpcp5mq24g9000,0,1
1dcas7tlbb895800,-1,1
1dbp9e5t324g9000,-1,1
1dboriofh24fp000,1,7
1dbodvoio24eo000,1,2
1dbo7q0p924gs000,1,1
1dbng34a924gs000,0,1
1dbng34a924gs000,1,2
1dbnckm9d0mcn000,1,2
1dbn5hiue24fp000,-1,1
1dbml9mgm24eo000,0,1
1dbmeso2s24eo000,0,1
1dbmeso2s24eo000,1,2
1dbmd83ka24e9000,1,2
1dblootdmb88l800,1,9
1dbloo3tfbrcm800,1,9
1dblonpfs0mt7000,0,1
1dbljv3330kbo000,1,1
1dbl5vnkt0kbo000,1,3
1dbl4mb3mb84n800,1,1
1dbl1ksp924e9000,0,1
1dbkvkir60kbo000,1,3
1dbkvfu3o24g9000,1,1
1dbk9k4h724g9000,1,4
1dbk9k4h724g9000,-1,2
1dbj37sa70mcn000,1,5
1dbj1pekmbrcm800,0,2
1dbifj6uh0kbo000,0,1
1dbi03jkc24eo000,-1,1
1dbhvso3a24g9000,-1,4
1dbhaqlmm24fp000,1,1
1dbh41d4324fp000,1,2
1dbh41d4324fp000,-1,2
1dbgs3qhi0mt7000,-1,2
1dbgqcq06b88l800,1,12
1dbghug2a24gs000,-1,3
1dbg82v0p0mt7000,1,7
1dbfpredd0mt7000,1,1
1dbfnqq8b24eo004,1,2
1dbeobhtb5na3800,1,1
1dbejhatm1fdk000,1,5
1dbeid8nv24eh000,0,1
1dbedkket5na3800,1,3
1dbe6ommc1d13000,1,1
1dbe6lvcu1d03000,-1,1
1dbb5aail1d13000,1,1
1dbat015124f3000,-1,1
1db8nterh1d13000,1,1
1db8bblsg1d03000,0,2
1db829lf824e3000,1,1
1db7hno0l24e3000,-1,11
1db6k5s0s5j5f800,0,1
1db6k5s0s5j5f800,1,6
1db643aae24g2000,1,3
1db63oiqr1fdk001,1,12
1db4h588p1d13000,1,8
1db4dde1c52tk800,1,3
1db48jc261d13000,1,1
1db48d1dr52tk800,-1,1
1db23vco91d0j000,0,1
1db23vco91d0j000,1,1
1db2361nr24e3000,-1,2
1db2361nr24e3000,1,32
1db228t5v24gi000,1,1
1db21e7t424g2000,1,1
1db21a55m1d0j001,-1,1
1db1oi93m52tk800,-1,2
1db19mp9o1fdk000,1,2
1db0024fs5j5f800,1,1
1davsnpct52tk800,1,1
1dave4ioeh3lm800,0,6
1dav86pfah3to800,1,2
1dav7mpquh3lm800,-1,2
1dav7jc3gh45m800,1,1
1dav72lblh3pn800,1,9
1dav6dkf85n9t800,1,1
1dav3u2cc5n9t800,1,1
1dauofpekb8a2800,-1,1
1daubsg91h45m802,1,5
1daubkn5k5j59800,1,1
1dau7oslmb868800,1,1
1dau7m5o5b8a2800,0,1
1dau69q12b868800,-1,1
1dau69q12b868800,1,3
1dau5hgbnbre6800,1,3
1dasvuseeh41t800,1,15
1das9gfbuh3lm800,0,2
1das9gfbuh3lm800,1,1
1das99un0h3pn800,1,1
1dari4683h3pn800,0,1
1dargr8u6h41t800,-1,1
1darcfo56b82c800,-1,1
1darc75o1b82c800,1,5
1dar8m1uth45m800,-1,1
1daqq7qp652te800,1,1
1daq2ifambre0800,1,2
1daprmhoq52t7800,1,1
1dapq3vqfh41o800,1,1
1dapjrhva5n9n801,-1,2
1dapjrhva5n9n801,0,2
1dap48jrph3tj800,1,1
1dap48jrph3tj800,-1,1
1daog0rbjh3pi800,1,1
1danua37252t7800,0,1
1danq86uh52t7800,1,1
1danp2ehi5j54800,1,22
1dann5osmb825800,0,1
1dam5aqagb89s800,-1,2
1dakc87p5h45h800,1,13
1dakbkf2ch3pi800,0,1
1dakbe2g652t7800,-1,1
1daka3btfh41o800,-1,1
1dak0ud0ih3hm800,1,2
1dak0k8obh45h800,-1,5
1dajrpf8ih3lh802,1,1
1dajrpf8ih3lh802,-1,2
1dajrpf8ih3lh802,0,1
1dajoo2lmh41o800,0,1
1dajoghd4h3lh800,1,2
1dajodau05j54800,1,4
1dahqsld4b825801,-1,1
1dahqr9aoh3lh800,-1,1
1dah4cu915ndm800,0,1
1dagk67rbb89s800,-1,1
